set_name,Release Date,English Set Name,Japanese Set Name,No Rarity,1st edition,Unlimited,# in Set,Have Images?,Type of Card Done?,Japanese Name Done?,English Name Done?,Stage Done?,Type Done?,Artist Done?,Other Notes,Links
Original Era,,,,,,,,,,,,,,,,
JM01,"October 20, 1996",Expansion Pack,拡張パック,Yes,,Yes,,0%,Yes,Yes,Yes,Yes,Yes,Yes,,
JM02,"March 5, 1997",Pokémon Jungle,ポケモンジャングル,,,Yes,,60%,Yes,Yes,Yes,Yes,Yes,Yes,,
JM03,"June 21, 1997",Mystery of the Fossils,化石の秘密,,,Yes,,0%,Yes,Yes,Yes,Yes,Yes,Yes,,
JM04,"November 21, 1997",Rocket Gang,ロケット団,,,Yes,,60%,Yes,Yes,Yes,Yes,Yes,Yes,,
,"April 26, 1998",Nivi City Gym,ニビシティジム タケシ,,,Yes,,100%,No,No,No,No,No,No,,https://bulbapedia.bulbagarden.net/wiki/Nivi_City_Gym_(TCG)
,"April 26, 1998",Hanada City Gym,ハナダシティジム カスミ,,,Yes,,100%,No,No,No,No,No,No,,https://bulbapedia.bulbagarden.net/wiki/Hanada_City_Gym_(TCG)
,"July 25, 1998",Kuchiba City Gym, クチバシティジム マチス,,,Yes,,100%,No,No,No,No,No,No,,https://bulbapedia.bulbagarden.net/wiki/Kuchiba_City_Gym_(TCG)
,"July 25, 1998",Tamamushi City Gym,タマムシシティジム エリカ,,,Yes,,100%,No,No,No,No,No,No,,
JM05,"October 24, 1998",Gym Booster 1: Leader's Stadium,ジム拡張第1弾 リーダーズスタジアム,,,Yes,,99%,Yes,Yes,Yes,Yes,Yes,Yes,,
,"December 4, 1998",Quick Starter Gift Set (Red Deck),クイックスターターギフト,,,Yes,,100%,No,No,No,No,No,No,,https://bulbapedia.bulbagarden.net/wiki/Quick_Starter_Gift_Set_(TCG)
,"December 4, 1998",Quick Starter Gift Set (Green Deck),クイックスターターギフト,,,Yes,,100%,No,No,No,No,No,No,,
JM06,"June 25, 1999",Gym Booster 2: Challenge from Darkness,ジム拡張第2弾 闇からの挑戦,,,Yes,,100%,Yes,Yes,Yes,Yes,Yes,Yes,,
